ligand,protein,conformation,Binding affinity,CNN score
bent_ligand,rec,0,-6.69846,0.3393449783
bent_ligand,rec,1,-6.36943,0.5967122316
bent_ligand,rec,2,-6.27586,0.3481290638
bent_ligand,rec,3,-6.18951,0.4338507652
bent_ligand,rec,4,-6.09474,0.4713689387
bent_ligand,rec,5,-5.89683,0.3277927041
bent_ligand,rec,6,-5.57185,0.5700247288
bent_ligand,rec,7,-5.54981,0.4932284057
bent_ligand,rec,8,-5.43941,0.7013138533
lig,rec,0,-8.12388,0.0845729858
lig,rec,1,-8.04360,0.1315515041
lig,rec,2,-7.99003,0.0793261155
lig,rec,3,-7.71425,0.0995294973
lig,rec,4,-7.24331,0.0832830071
lig,rec,5,-6.90213,0.1611204892
lig,rec,6,-6.39509,0.1332895160
lig,rec,7,-6.36737,0.0953343734
lig,rec,8,-6.13487,0.0685728043
